IMG0074_0602.181204.024.raw,21703.394721
IMG0075_0602.181307.604.raw,12743.998790
IMG0076_0602.181320.944.raw,21715.497338
IMG0077_0602.181424.508.raw,12749.425978
IMG0078_0602.181437.848.raw,21714.047255
IMG0079_0602.181541.427.raw,12744.488790
IMG0080_0602.181554.768.raw,21710.068822
IMG0081_0602.181658.347.raw,12750.236006
IMG0082_0602.181711.687.raw,21711.125842
IMG0083_0602.181815.235.raw,12746.268196
IMG0084_0602.181828.591.raw,21713.279720
IMG0085_0602.181932.218.raw,12748.018388
IMG0086_0602.181945.559.raw,21707.613507
IMG0087_0602.182049.122.raw,12751.837472
IMG0088_0602.182102.463.raw,21714.112323
IMG0089_0602.182206.074.raw,12747.641261
IMG0090_0602.182219.415.raw,21716.064358
IMG0091_0602.182322.978.raw,12748.901452
IMG0092_0602.182336.319.raw,21714.180047
IMG0093_0602.182439.883.raw,12755.428154
IMG0094_0602.182453.223.raw,21715.671295
IMG0095_0602.182556.818.raw,12755.599455
IMG0096_0602.182610.158.raw,21728.002314
IMG0097_0602.182713.722.raw,12748.159147
IMG0098_0602.182727.063.raw,21731.307494
IMG0099_0602.182830.610.raw,12757.073441
IMG0100_0602.182843.967.raw,21732.618146
IMG0101_0602.182947.530.raw,12749.881453
IMG0102_0602.183000.871.raw,21716.019209
IMG0103_0602.183104.435.raw,12758.931194
IMG0104_0602.183117.776.raw,21725.185806
IMG0105_0602.183221.386.raw,12758.341599
IMG0106_0602.183234.727.raw,21736.684222
IMG0107_0602.183338.290.raw,12759.887292
IMG0108_0602.183351.631.raw,21736.155712
IMG0109_0602.183455.226.raw,12757.199593
IMG0110_0602.183508.566.raw,21734.616658
IMG0111_0602.183612.177.raw,12761.657403
IMG0112_0602.183625.517.raw,21734.250154
IMG0113_0602.183729.096.raw,12757.134525
IMG0114_0602.183742.452.raw,21729.125730
IMG0115_0602.183846.032.raw,12761.953528
IMG0116_0602.183859.388.raw,21733.211724
IMG0117_0602.184002.951.raw,12757.844959
IMG0118_0602.184016.292.raw,21733.827877
IMG0119_0602.184119.856.raw,12756.477207
IMG0120_0602.184133.196.raw,21742.655856
IMG0121_0602.184236.760.raw,12754.649996
IMG0122_0602.184250.101.raw,21741.068997
IMG0123_0602.184353.681.raw,12756.054930
IMG0124_0602.184407.022.raw,21734.345764
IMG0125_0602.184510.616.raw,12756.811841
IMG0126_0602.184523.957.raw,21730.841396
IMG0127_0602.184627.536.raw,12760.867294
IMG0128_0602.184640.876.raw,21736.277880
IMG0129_0602.184744.471.raw,12758.603199
IMG0130_0602.184757.827.raw,21744.731387
IMG0131_0602.184901.422.raw,12761.548514
IMG0132_0602.184914.762.raw,21736.777176
IMG0133_0602.185018.326.raw,12760.855343
IMG0134_0602.185031.666.raw,21737.386689
IMG0135_0602.185135.231.raw,12762.814017
IMG0136_0602.185148.571.raw,21742.461980
IMG0137_0602.185252.135.raw,12767.556002
IMG0138_0602.185305.475.raw,21749.680526
IMG0139_0602.185409.055.raw,12765.651771
IMG0140_0602.185422.443.raw,21749.377761
IMG0141_0602.185525.976.raw,12768.701992
IMG0142_0602.185539.333.raw,21734.077525
IMG0143_0602.185642.881.raw,12769.968823
IMG0144_0602.185656.222.raw,21735.102675
IMG0145_0602.185759.801.raw,12763.422202
IMG0146_0602.185813.142.raw,21742.900192
IMG0147_0602.185916.721.raw,12763.334560
IMG0148_0602.185930.077.raw,21743.087428
IMG0149_0602.190033.656.raw,12762.922906
IMG0150_0602.190046.997.raw,21750.752153
IMG0151_0602.190150.561.raw,12761.383853
IMG0152_0602.190203.901.raw,21742.605395
IMG0153_0602.190307.465.raw,12769.464215
IMG0154_0602.190320.806.raw,21749.736298
IMG0155_0602.190424.416.raw,12762.564369
IMG0156_0602.190437.757.raw,21744.949165
IMG0157_0602.190541.320.raw,12765.650444
IMG0158_0602.190554.661.raw,21755.770344
IMG0159_0602.190658.271.raw,12761.280275
IMG0160_0602.190711.612.raw,21737.394656
IMG0161_0602.190815.175.raw,12762.420954
IMG0162_0602.190828.516.raw,21753.735978
IMG0163_0602.190932.080.raw,12764.054290
IMG0164_0602.190945.436.raw,21745.073989
IMG0165_0602.191049.031.raw,12772.402891
IMG0166_0602.191102.371.raw,21740.419647
IMG0167_0602.191205.967.raw,12764.673098
IMG0168_0602.191219.308.raw,21759.276040
IMG0169_0602.191322.887.raw,12772.114734
IMG0170_0602.191336.227.raw,21741.220379
IMG0171_0602.191439.806.raw,12770.125517
IMG0172_0602.191453.147.raw,21745.613122
IMG0173_0602.191556.726.raw,12763.292067
IMG0174_0602.191610.066.raw,21761.800406
IMG0175_0602.191713.630.raw,12769.184025
IMG0176_0602.191726.971.raw,21753.350883
IMG0177_0602.191830.551.raw,12768.861342
IMG0178_0602.191843.891.raw,21750.774728
IMG0179_0602.191947.470.raw,12771.696440
IMG0180_0602.192000.827.raw,21753.524840
IMG0181_0602.192104.422.raw,12763.929466
IMG0182_0602.192117.763.raw,21753.427902
IMG0183_0602.192221.342.raw,12774.759940
IMG0184_0602.192234.683.raw,21757.460780
IMG0185_0602.192338.293.raw,12770.116222
IMG0186_0602.192351.634.raw,21754.372049
IMG0187_0602.192455.197.raw,12769.181369
IMG0188_0602.192508.537.raw,21750.665839
IMG0189_0602.192612.101.raw,12767.996869
IMG0190_0602.192625.441.raw,21753.761209
IMG0191_0602.192729.036.raw,12762.366510
IMG0192_0602.192742.377.raw,21749.043127
IMG0193_0602.192845.957.raw,12767.336896
IMG0194_0602.192859.297.raw,21753.261913
IMG0195_0602.193002.847.raw,12773.425386
IMG0196_0602.193016.187.raw,21751.297926
IMG0197_0602.193119.751.raw,12773.316497
IMG0198_0602.193133.107.raw,21752.595299
IMG0199_0602.193236.687.raw,12766.469767
IMG0200_0602.193250.027.raw,21753.562021
IMG0201_0602.193353.637.raw,12764.481878
IMG0202_0602.193406.978.raw,21740.962764
IMG0203_0602.193510.557.raw,12762.662635
IMG0204_0602.193523.897.raw,21740.836612
IMG0205_0602.193627.476.raw,12768.399228
IMG0206_0602.193640.817.raw,21751.076164
IMG0207_0602.193744.380.raw,12768.189417
IMG0208_0602.193757.721.raw,21751.173102
IMG0209_0602.193901.285.raw,12767.522804
IMG0210_0602.193914.625.raw,21749.912911
IMG0211_0602.194018.189.raw,12767.941097
IMG0212_0602.194031.545.raw,21752.007033
IMG0213_0602.194135.109.raw,12758.806370
IMG0214_0602.194148.450.raw,21734.732187
IMG0215_0602.194252.013.raw,12757.688265
IMG0216_0602.194305.354.raw,21734.671103
IMG0217_0602.194408.919.raw,12765.897436
IMG0218_0602.194422.259.raw,21738.680078
IMG0219_0602.194525.838.raw,12758.012277
IMG0220_0602.194539.179.raw,21744.228107
IMG0221_0602.194642.758.raw,12756.879565
IMG0222_0602.194656.099.raw,21748.723099
IMG0223_0602.194759.678.raw,12757.566097
IMG0224_0602.194813.018.raw,21740.294823
IMG0225_0602.194916.629.raw,12759.148972
IMG0226_0602.194929.970.raw,21734.309910
IMG0227_0602.195033.533.raw,12758.295122
IMG0228_0602.195046.889.raw,21741.335908
IMG0229_0602.195150.468.raw,12762.567025
IMG0230_0602.195203.809.raw,21741.533767
IMG0231_0602.195307.388.raw,12763.557650
IMG0232_0602.195320.728.raw,21731.209228
IMG0233_0602.195424.291.raw,12757.154443
IMG0234_0602.195437.632.raw,21732.495978
IMG0235_0602.195541.195.raw,12757.791843
IMG0236_0602.195554.536.raw,21746.474939
IMG0237_0602.195658.115.raw,12760.005477
IMG0238_0602.195711.471.raw,21732.792103
IMG0239_0602.195815.066.raw,12765.615918
IMG0240_0602.195828.407.raw,21731.405760
